Etuocetube	Et uoce tube
xp̃ocumnumꝙͣseꝑatadiuinitasacarnesic̃nec	xp̃o cum numꝙͣ seꝑata diuinitas a carne sic̃ nec
abaĩadicim᷒q̃ddr̃d	ab aĩa dicim᷒ q̃d dr̃d
eirestitutaquiafuit	ei restituta quia fuit
aĩerestitutaaĩaenim	aĩe restituta aĩa enim
fuitseꝑataacarnesetũbumnec	fuit seꝑata a carne set ũbum nec
acarnenecabaĩadñsregͣuitexl̃tet	a carne nec ab aĩa dñs regͣuit exl̃tet
t̃raEccl̃aqñdr̃dt̃raꝑꝑsui	t̃ra Eccl̃a qñ dr̃d t̃ra ꝑꝑ sui
firmitatẽẜmilld̃vob̃cumsumusqadꝯsumatiõmscl̃iqñ	firmitatẽ ẜm illd̃ vob̃cum sum usq ad ꝯsumatiõm scl̃i qñ
orb̃t̃reꝑꝑuolubl̃itatẽquiauoluitse	orb̃ t̃re ꝑꝑ uolubl̃itatẽ quia uoluit se
ꝯͣõemuentũꝑsecutiõisuñdñs	ꝯͣ õem uentũ ꝑsecutiõis uñ dñs
deditdñsabstulitqñ	dedit dñs abstulit qñ
ĩquiaĩsalomundifluctib᷒ꝑsecutionũ	ĩ quia ĩ salo mundi fluctib᷒ ꝑsecutionũ
tundr̃uñ⁊insulisque	tundr̃ uñ ⁊ insulis que
lõgesuntdicitesaluatornr̃aduenietqñarridaquia	lõge sunt dicite saluator nr̃ adueniet qñ arrida quia
siccataẽabhumoreuitioꝝ	siccata ẽ ab humore uitioꝝ
uñquiꝯũtitmareĩaridãetc̃Cantate	uñ qui ꝯũtit mare ĩ aridã et c̃ Cantate
dñocanticũnouũcãtatedñoom̃is	dño canticũ nouũ cãtate dño om̃is
t̃raCantatedñobñdicitenõieiusannũtiatede	t̃ra Cantate dño bñdicite nõi eius annũtiate de
dieindiẽsalutareeiusannũtiate	die in diẽ salutare eius annũtiate
int̃gt̃sgl̃ameiusinom̃ibppl̃ismirabiliaeius	int̃ gt̃s gl̃am eius in om̃ib ppl̃is mirabilia eius
Qm̃magnus	Qm̃ magnus
dñs⁊laudabilisnimist̃ribil̃ẽ	dñs ⁊ laudabilis nimis t̃ribil̃ ẽ
suꝑõsd̃osQm̃om̃sdiigẽtiũ	suꝑ õs d̃os Qm̃ om̃s dii gẽtiũ
demõiadñs	demõia dñs
aut̃celosfecit	aut̃ celos fecit
Confessio⁊pulcritudoinꝯspectueiussc̃imonia⁊	Confessio ⁊ pulcritudo in ꝯspectu eius sc̃imonia ⁊
magnificẽtiainsc̃ificatiõeeiusAff̃tedñopatrie	magnificẽtia in sc̃ificatiõe eius Aff̃te dño patrie
gentiũaffẽtedñogl̃am⁊	gentiũ affẽte dño gl̃am ⁊
honorẽaffẽtedñogl̃amnõieiusTollitehostias⁊	honorẽ affẽte dño gl̃am nõi eius Tollite hostias ⁊
introiteinatria	introite in atria
ei᷒adoratedñminatriosc̃oeiusCõmoueat᷑a	ei᷒ adorate dñm in atrio sc̃o eius Cõmoueat᷑ a
facieeiusuniu͛sat̃radicitein	facie eius uniu͛sa t̃ra dicite in
gẽtibdñsregnauitEtenĩcõrexit	gẽtib  dñs regnauit Etenĩ cõrexit
orbẽquiñꝯmouebr̃iudicabitppl̃osinequitateLetent᷑	orbẽ qui ñ ꝯmouebr̃ iudicabit ppl̃os in equitate Letent᷑
celi⁊exultett̃raꝯmoueat᷑mare⁊plenitudoeiusgaudebũt	celi ⁊ exultet t̃ra ꝯmoueat᷑ mare ⁊ plenitudo eius gaudebũt
cãpi⁊om̃iaqueineiss̃tTũcexultabũt	cãpi ⁊ om̃ia que in eis s̃t Tũc exultabũt
om̃ialignasiluarũ	om̃ia ligna siluarũ
afaciedñiuenitqm̃uenitiudicaret̃ramIudicabit	a facie dñi  uenit qm̃ uenit iudicare t̃ram Iudicabit
orbẽt̃reinequitate⁊ppl̃osinueritatesua	orbẽ t̃re in equitate ⁊ ppl̃os in ueritate sua
Domin᷒regnauitexultet	Domin᷒ regnauit exultet
t̃raletent᷑insulemulteNubes⁊	t̃ra letent᷑ insule multe Nubes ⁊
caligoincĩcuitu	caligo in cĩcuitu
eiusiustitia⁊iudiciũcorrectõsedis	eius iustitia ⁊ iudiciũ correctõ sedis
eiusIgnisañ	eius Ignis añ
ip̃mcedet⁊inflãmabitincĩcuituinimicoseius	ip̃m cedet ⁊ inflãmabit in cĩcuitu inimicos eius
Alluxerũtfulgoraei᷒orbit̃reuidit⁊	Alluxerũt fulgora ei᷒ orbi t̃re uidit ⁊
ꝯmotaẽt̃raMontessicutcerafluxerũtafaciedñi	ꝯmota ẽ t̃ra Montes sicut cera fluxerũt a facie dñi
afaciedñiom̃ist̃raAnũtiauerũtceliiustitiãeius	a facie dñi om̃is t̃ra Anũtiauerũt celi iustitiã eius
⁊uiderũtõsppl̃igl̃ameiusConfundant᷑õsqui	⁊ uiderũt õs ppl̃i gl̃am eius Confundant᷑ õs qui
adorãtsculptilia⁊	adorãt sculptilia ⁊
quigl̃iant᷑insimulacrissuisAdorateeũõsangl̃ieius	qui gl̃iant᷑ in simulacris suis Adorate eũ õs angl̃i eius
audiuit⁊	audiuit ⁊
letataẽsyon⁊exultauerũtfilieiudeꝓpt̃	letata ẽ syon ⁊ exultauerũt filie iude ꝓpt̃
iudiciatuadñe	iudicia tua dñe
Qm̃tudñs	Qm̃ tu dñs
altissim᷒suꝑ	altissim᷒ suꝑ
õemt̃rãnimisexaltatusẽ	õem t̃rã nimis exaltatus ẽ
suꝑõsd̃osQui	suꝑ õs d̃os Qui
diligitisdominũoditemalũ	diligitis dominũ odite malũ
custoditdñsaĩassc̃oꝝtuoꝝde	custodit dñs aĩas sc̃oꝝ tuoꝝ de
manupecc̃oriᷤlib̃abiteosLuxortaẽ	manu pecc̃oriᷤ lib̃abit eos Lux orta ẽ
iuxto⁊rectiscõdeletitiaLetaminiiustiĩdño⁊	iuxto ⁊ rectis cõde letitia Letamini iusti ĩ dño ⁊
ꝯfiteminimemoriesc̃itatiseiusCAntatedñocaticũ	ꝯfitemini memorie sc̃itatis eius CAntate dño caticũ
nouũmirabiliafecitdñsSaluauitsibidext̃a	nouũ  mirabilia fecit dñs Saluauit sibi dext̃a
ei᷒⁊brachiũsc̃meiusNotũ	ei᷒ ⁊ brachiũ sc̃m eius Notũ
fecitdñssalutare	fecit dñs salutare
suũĩꝯspectugẽtiũreuelauitiustitiãsuã	suũ ĩ ꝯspectu gẽtiũ reuelauit iustitiã suã
Recordatusẽmĩesue⁊ueritatissuedomuiisr̃l	Recordatus ẽ mĩe sue ⁊ ueritatis sue domui isr̃l
Viderũtõst̃minit̃re	Viderũt õs t̃mini t̃re
salutaredeinr̃iIubilate	salutare dei nr̃i Iubilate
d̃oom̃ist̃racantate⁊exultate⁊psallitePsallited̃o	d̃o om̃is t̃ra cantate ⁊ exultate ⁊ psallite Psallite d̃o
incytharaincythara⁊uocepsalmiintub̃ductilib	in cythara in cythara ⁊ uoce psalmi in tub̃ ductilib
⁊uocetubecõnee	⁊ uoce tube cõnee
Iubilateinꝯspectu	Iubilate in ꝯspectu
regisdñi	regis dñi
moueat᷑mare⁊	moueat᷑ mare ⁊
plenitudoeiusorb̃t̃rarũ⁊quihabitãtin	plenitudo eius orb̃ t̃rarũ ⁊ qui habitãt in
eofluminaplaudẽtmanusiml̃mõtesexultab̃taꝯspectu	eo flumina plaudẽt manu siml̃ mõtes exultab̃t a ꝯspectu
dñiqm̃uenitiudicaret̃ramIudicabitorbẽ	dñi qm̃ uenit iudicare t̃ram Iudicabit orbẽ
t̃rarũiniustitia⁊ppl̃osinequitateDÑS	t̃rarũ in iustitia ⁊ ppl̃os in equitate DÑS
regnauitirascant᷑	regnauit irascant᷑
ppl̃iquisedessuꝑcherubinmoueat᷑t̃raDñs	ppl̃i qui sedes suꝑ cherubin moueat᷑ t̃ra Dñs
insyonmagnus⁊excelsussuꝑ	in syon magnus ⁊ excelsus suꝑ
õsppl̃osConfiteant᷑nõituomagnoqm̃t̃ribile⁊	õs ppl̃os Confiteant᷑ nõi tuo magno qm̃ t̃ribile ⁊
sc̃mẽ⁊honorregisiudiciũdiligitTu	sc̃m ẽ ⁊ honor regis iudiciũ diligit Tu
parastidirectiõesiudiciũ⁊iustitiãiniacobtufecistiExaltate	parasti directiões iudiciũ ⁊ iustitiã in iacob tu fecisti Exaltate
dñmd̃m	dñm d̃m
nr̃m⁊adorate	nr̃m ⁊ adorate
scabellũpedũeiusattrectãsl̃palpãs	scabellũ pedũ eius attrectãs l̃ palpãs
l̃liniẽsl̃aquaticusmõsfortitud̃isl̃mõsfortis	l̃ liniẽs l̃ aquaticus mõs fortitud̃is l̃ mõs fortis
l̃dñsnr̃l̃apl̃sqm̃sc̃mẽMoyses	l̃ dñs nr̃ l̃ apl̃s qm̃ sc̃m ẽ Moyses
⁊aaroninsacẽdotibeius⁊samuelNom̃ei᷒d̃s	⁊ aaron in sacẽdotib eius ⁊ samuel Nom̃ ei᷒ d̃s
int̃eosquiinuocãt	int̃ eos qui inuocãt
nom̃eiusInuocabãtdñm⁊ip̃eexaudiebateosin	nom̃ eius Inuocabãt dñm ⁊ ip̃e exaudiebat eos in
colũpnanub̃loquebat᷑adeosCustodiebãttestimõiaeius	colũpna nub̃ loquebat᷑ ad eos Custodiebãt testimõia eius
⁊ceptũ	⁊ ceptũ
ꝙdeditillisDñed̃snr̃tuexaudiebaseosd̃s	ꝙ dedit illis Dñe d̃s nr̃ tu exaudiebas eos d̃s
tuꝓpitiusfuistieis⁊	tu ꝓpitius fuisti eis ⁊
ulciscẽsinõsadinuẽtiõeseoꝝExaltatedñm	ulciscẽs in õs adinuẽtiões eoꝝ Exaltate dñm
d̃mnostrum⁊adorateinmõtesc̃oeiusqm̃	d̃m nostrum ⁊ adorate in mõte sc̃o eius qm̃
sc̃sdñs	sc̃s dñs
d̃snr̃IVbilated̃oõist̃rasẽuitedñoinletitia	d̃s nr̃ IVbilate d̃o õis t̃ra sẽuite dño in letitia
Intͦiteinꝯspectueiusin	Intͦite in ꝯspectu eius in
exultatiõeScitoteqm̃dñs	exultatiõe Scitote qm̃ dñs
ip̃eẽd̃s	ip̃e ẽ d̃s
ip̃efec̃nos⁊ñip̃inosPopuluseius⁊	ip̃e fec̃ nos ⁊ ñ ip̃i nos Populus eius ⁊
ouespascueeius	oues pascue eius
introitepõtaseiusinꝯfessiõeatria	introite põtas eius in ꝯfessiõe atria
eiusinimnisꝯfiteminiilli	eius in imnis ꝯfitemini illi
Laudatenom̃eiusqm̃suauisẽ	Laudate nom̃ eius qm̃ suauis ẽ
dñs⁊inet̃nũmĩaeius	dñs ⁊ in et̃nũ mĩa eius
⁊usqingñatiõe⁊gñemueritaseiusMĩam	⁊ usq in gñatiõe ⁊ gñem ueritas eius Mĩam
⁊iudiciũ⁊cãtabotibidñePsallam⁊intelligãin	⁊ iudiciũ ⁊ cãtabo tibi dñe Psallam ⁊ intelligã in
uiainmaculataqñueniesadmeꝑambulabãininnocẽtia	uia inmaculata qñ uenies ad me ꝑambulabã in innocẽtia
cõdism̃iinmediodom᷒meeNõ	cõdis m̃i in medio dom᷒ mee Nõ
ꝓponebãañ	ꝓponebã añ
oculosm̃os	oculos m̃os
rẽiniustãfacientesuaricatiõesodiuiNõadhesitmͥcõprauũ	rẽ iniustã facientes uaricatiões odiui Nõ adhesit mͥ cõ prauũ
declinãteamemalignũñ	declinãte a me malignũ ñ
cognoscebãDetrahentẽsecretoꝓximosuohũcꝑsequebãSuꝑbooculo	cognoscebã Detrahentẽ secreto ꝓximo suo hũc ꝑsequebã Suꝑbo oculo
⁊insatiabilicordecũhocñedebãOculim̃iad	⁊ insatiabili corde cũ hoc ñ edebã Oculi m̃i ad
fidelest̃reutsedeantmecũambulansinuiainmaculatahic	fideles t̃re ut sedeant mecũ ambulans in uia inmaculata hic
mͥministrabatNõhabitabitin	mͥ ministrabat Nõ habitabit in
mediodom᷒mee	medio dom᷒ mee
quifac̃suꝑbiãquiloquit᷑iniqͣñdirexitin	qui fac̃ suꝑbiã qui loquit᷑ iniqͣ ñ direxit in
ꝯspectuocl̃oꝝ	ꝯspectu ocl̃oꝝ
m̃oꝝInmatutinoint̃ficiebamõspeccatorest̃reutdispẽd̃em	m̃oꝝ In matutino int̃ficiebam õs peccatores t̃re ut dispẽd̃em
deciuitate	de ciuitate
dñiom̃soꝑantesiniquitatẽDÑEexaudioratiõemmeã⁊	dñi om̃s oꝑantes iniquitatẽ DÑE exaudi oratiõem meã ⁊
clamõm̃sadteꝑueniatNeau͛tasfaciem	clamõ m̃s ad te ꝑueniat Ne au͛tas faciem
tuamameinqͣcũq	tuam a me in qͣcũq
dietribulorinclina	die tribulor inclina
admeaurẽtuamInquac̃q	ad me aurẽ tuam In quac̃q
dieinuocaũoteuelocit̃exaudimeQuiadefecerũtsicut	die inuocaũo te uelocit̃ exaudi me Quia defecerũt sicut
fum᷒dies	fum᷒ dies
m̃i⁊ossam̃asicutcremiũaruerũt	m̃i ⁊ ossa m̃a sicut cremiũ aruerũt
ꝑcussussũutfenũ⁊	ꝑcussus sũ ut fenũ ⁊
aruitcormeũoblitussũcomed̃epanẽmeũA	aruit cor meũ  oblitus sũ comed̃e panẽ meũ A
uocegemitusm̃i	uoce gemitus m̃i
adhesitosmeũcãnimeeSimil̃	adhesit os meũ cãni mee Simil̃
fc̃ssumpellicanosolitudinisfc̃s	fc̃s sum pellicano solitudinis fc̃s
sũsicut	sũ sicut
nicticoraxindomicilioVigilaui⁊fc̃ssũ	nicticorax in domicilio Vigilaui ⁊ fc̃s sũ
sic̃passersolitari᷒intecto	sic̃ passer solitari᷒ in tecto
Totadieexprobrabãtmͥinimicim̃i⁊quilaudabãt	Tota die exprobrabãt mͥ inimici m̃i ⁊ qui laudabãt
meadu͛summeiurabãtQuia	me adu͛sum me iurabãt Quia
cinerẽtãꝙͣpanẽmãducabã⁊poculũmeũ	cinerẽ tãꝙͣ panẽ mãducabã ⁊ poculũ meũ
cũfletumiscebãAfacieireetindignationistue	cũ fletu miscebã A facie ire et indignationis tue 
eleuãsallisistimeDiesm̃isicut	eleuãs allisisti me Dies m̃i sicut
umbradeclinauerũt⁊egosicutfenũarui	umbra declinauerũt ⁊ ego sicut fenũ arui
Tuaut̃dñe	Tu aut̃ dñe
inet̃numꝑmanes⁊	in et̃num ꝑmanes ⁊
memorialetuũingñatione⁊gñemTuexũgens	memoriale tuũ in gñatione ⁊ gñem Tu exũgens
misereberissyon	misereberis syon
tp̃smiserẽdieius	 tp̃s miserẽdi eius 
ueñtp̃sQm̃placuerũtẜuistuislapideseius⁊	ueñ tp̃s Qm̃ placuerũt ẜuis tuis lapides eius ⁊
t̃reeiusmiserebũtũEttimeb̃t	t̃re eius miserebũtũ Et timeb̃t
g̃snom̃	g̃s nom̃
tuũd̃⁊õsregeᷤ	tuũ d̃ ⁊ õs regeᷤ
t̃regl̃am	t̃re gl̃am
tuãQuiahedificabitdñssyon⁊uidebr̃ingl̃a	tuã Quia hedificabit dñs syon ⁊ uidebr̃ in gl̃a
suaRespex̃inoratõnẽhũiliũ⁊ñspreũcemeoꝝ	sua Respex̃ in oratõnẽ hũiliũ ⁊ ñ spreũ cem eoꝝ
Scribant᷑h̃ingñatiõealt̃a	Scribant᷑ h̃ in gñatiõe alt̃a
⁊ppl̃squicreabr̃laudabitdñmQͥaprospex̃	⁊ ppl̃s qui creabr̃ laudabit dñm Qͥa prospex̃
deexcelsosc̃osuo	de excelso sc̃o suo
dñsdeceloin	dñs de celo in
t̃rãaspex̃Vt	t̃rã aspex̃ Vt
audiretgemituᷤconpeditoꝝ	audiret gemituᷤ conpeditoꝝ
utsolũetfiliosint̃emptoꝝVtannũtiẽtinsyonnom̃	ut solũet filios int̃emptoꝝ Vt annũtiẽt in syon nom̃
domini⁊laudẽeiusinierl̃mIn	domini ⁊ laudẽ eius in ierl̃m In
ꝯueniẽdopopulosinunũ⁊regesutsẽuiãtdño	ꝯueniẽdo populos in unũ ⁊ reges ut sẽuiãt dño
R̃respondit	R̃ respondit
eiinuiauĩtutis	ei in uia uĩtutis
suepaucitatẽdierũeoꝝnũtiamͥ	sue paucitatẽ dierũ eoꝝ nũtia mͥ
Nereuocesmeindimidiodieꝝm̃oꝝĩgñatiõe	Ne reuoces me in dimidio dieꝝ m̃oꝝ ĩ gñatiõe
⁊gñemãnituiInitiotudñet̃ramfũdasti	⁊ gñem ãni tui Initio tu dñe t̃ram fũdasti
⁊oꝑamanuũ	⁊ oꝑa manuũ
tuarũsũtceliIp̃peribũttuaut̃	tuarũ sũt celi Ip̃ peribũt tu aut̃
ꝑmanes⁊õsut	ꝑmanes ⁊ õs ut
uestim̃tũuet̃ascẽtEtsic̃oꝑtoriũmutab̃eosetmutabũt᷑	uestim̃tũ uet̃ascẽt Et sic̃ oꝑtoriũ mutab̃ eos et mutabũt᷑
tuaut̃idẽip̃ees⁊ãnituiñ	tu aut̃ idẽ ip̃e es ⁊ ãni tui ñ
deficiẽtfiliiẜuorũtuoꝝ	deficiẽt filii ẜuorũ tuoꝝ
habitabũtetsem̃eoꝝinscl̃mscl̃idiriget᷑BEnedicaĩa	habitabũt et sem̃ eoꝝ in scl̃m scl̃i diriget᷑ BEnedic aĩa
m̃adomino⁊om̃iaqueintramesũtnõi	m̃a domino ⁊ om̃ia que intra me sũt nõi
sc̃oeius	sc̃o eius
Benedicaĩa	Benedic aĩa
m̃adño⁊noliobliuisciom̃sretributiões	m̃a dño ⁊ noli obliuisci om̃s retributiões
ei᷒Quiꝓpitiat᷑õibiniquitatibtuisꝗsanatõs	ei᷒ Qui ꝓpitiat᷑ õib iniquitatib tuis ꝗ sanat õs
infĩmitatestuasQͥredimitdeint̃ituuitãtuãꝗcorõat	infĩmitates tuas Qͥ redimit de int̃itu uitã tuã ꝗ corõat
teinmĩa	te in mĩa
⁊miserationibQuirepletĩbonisdesideriũtuũrenouabr̃	⁊ miserationib Qui replet ĩ bonis desideriũ tuũ renouabr̃
utaquileiuuent᷒tuafaciensmĩasdñs⁊	ut aquile iuuent᷒ tua faciens mĩas dñs ⁊
iudiciũom̃ibiniuriãpatiẽtib	iudiciũ om̃ib iniuriã patiẽtib
Notasfecituiassuasmoysi	Notas fecit uias suas moysi
filiisisr̃luolũtatessuasMiserator⁊misericõs	filiis isr̃l uolũtates suas Miserator ⁊ misericõs
dñslõganimis⁊multũmisericõsNõinꝑpetuũirascet᷑	dñs lõganimis ⁊ multũ misericõs Nõ in ꝑpetuũ irascet᷑
neqinet̃nũꝯminabr̃Nõscd̃mpeccatanr̃afecitnob̃	neq in et̃nũ ꝯminabr̃ Nõ scd̃m peccata nr̃a fecit nob̃
neqscd̃miniꝗtates	neq scd̃m iniꝗtates
nr̃asretribuitnob̃Qm̃scd̃maltitudinẽ	nr̃as retribuit nob̃ Qm̃ scd̃m altitudinẽ
celiat̃racõroborauitmĩamsuãsr̃tim̃tes	celi a t̃ra cõroborauit mĩam suã sr̃ tim̃tes
seQuãtũdistatortusaboccidẽtelõgefecitanob̃	se Quãtũ distat ortus ab occidẽte lõge fecit a nob̃
iniquitatesnr̃asQm̃omiseret᷑	iniquitates nr̃as Qm̃o miseret᷑
pat̃filioꝝ	pat̃ filioꝝ
misẽtusẽdñstim̃tibseqͫip̃e	misẽtus ẽ dñs tim̃tib se qͫ ip̃e
cognouitfigm̃tũnr̃m	cognouit figm̃tũ nr̃m
Recõdat᷒ẽqm̃puluissum᷒h̃osicut	Recõdat᷒ ẽ qm̃ puluis sum᷒ h̃o sicut
fenũdieseiustãquãflos	fenũ dies eius tãquã flos
agrisicefflorebitQm̃	agri sic efflorebit Qm̃
sp̃sꝑtrãsibitĩillo⁊ñ	sp̃s ꝑtrãsibit ĩ illo ⁊ ñ
subsistet⁊ñcognoscetãpli᷒locũsuũ	subsistet ⁊ ñ cognoscet ãpli᷒ locũ suũ
Mĩaaut̃dñiab	Mĩa aut̃ dñi ab
et̃no⁊usq	et̃no ⁊ usq
inet̃nũsuꝑtim̃teseũEtiustitiaillius	in et̃nũ suꝑ tim̃tes eũ Et iustitia illius
infiliosfilioꝝhisꝗsẽuãttestam̃tũeius	in filios filioꝝ his ꝗ sẽuãt testam̃tũ eius
Etmemoressũtmãdatoꝝip̃i᷒ad	Et memores sũt mãdatoꝝ ip̃i᷒ ad
faciendũeadñsincelo	faciendũ ea dñs in celo
ꝑauitsedemsuã	ꝑauit sedem suã
⁊regnũip̃iusõibdñabr̃Bñdicitedñoõsãgl̃iei᷒	⁊ regnũ ip̃ius õib dñabr̃ Bñdicite dño õs ãgl̃i ei᷒
potentesuĩtute	potentes uĩtute
faciẽtesu͛bumilliusadaudiendãuocẽsẽmonũei᷒Bñ	faciẽtes u͛bum illius ad audiendã uocẽ sẽmonũ ei᷒ Bñ
dñoom̃s	dño om̃s
uĩtuteseiusministrieiusquifacitisuolũtatẽeius	uĩtutes eius ministri eius qui facitis uolũtatẽ eius
Bñdñoõia	Bñ dño õia
oasiceiusinom̃ilocodñatiõis	oa siceius in om̃i loco dñatiõis
eiusbñdicaĩam̃adñoBEnedicaĩa	eius bñdic aĩa m̃a dño BEnedic aĩa
m̃adño	m̃a dño
dñed̃sm̃smagnificat᷒ẽueem̃t̃Confessiõe⁊decorẽinduisti	dñe d̃s m̃s magnificat᷒ ẽ ueem̃t̃ Confessiõe ⁊ decorẽ induisti
amict᷒luminesic̃uestim̃toExtendẽscelũsicutpellẽ	amict᷒ lumine sic̃ uestim̃to Extendẽs celũ sicut pellẽ
quitegis	qui tegis
aqͥssuꝑioraeiusQuiponis	aqͥs suꝑiora eius Qui ponis
nubẽascẽsũtuũꝗambulassuꝑpẽnas	nubẽ ascẽsũ tuũ ꝗ ambulas suꝑ pẽnas
uetoꝝQuifacisangl̃ostuossp̃s⁊ministrostuos	uetoꝝ Qui facis angl̃os tuos sp̃s ⁊ ministros tuos
ignẽurẽtẽꝘfundastit̃ramsuꝑstabilitatẽ	ignẽ urẽtẽ Ꝙ fundasti t̃ram suꝑ stabilitatẽ
suãñinclinabr̃inscl̃mscl̃iAbyssussic̃uestim̃tũ	suã ñ inclinabr̃ in scl̃m scl̃i Abyssus sic̃ uestim̃tũ
amict᷒eiussuꝑmõtes	amict᷒ eius suꝑ mõtes
stabũtaqueAbincrepatiõetuafugientauocetonitruitui	stabũt aque Ab increpatiõe tua fugient a uoce tonitrui tui
fõmidabũtAscẽdũtmõtes⁊descendũtcãpiinlocũ	fõmidabũt Ascẽdũt mõtes ⁊ descendũt cãpi in locũ
quẽfũdastieisTẽminũposuistiquẽnõ	quẽ fũdasti eis Tẽminũ posuisti quẽ nõ
trãsgredient᷑neq	trãsgredient᷑ neq
ꝯu͛tent᷑oꝑiret̃ramQuiemittisfõtesinꝯuallib	ꝯu͛tent᷑ oꝑire t̃ram Qui emittis fõtes in ꝯuallib
int̃mediũmõtiũꝑtrãsibũtaquePotabũtom̃s	int̃ mediũ mõtiũ ꝑtrãsibũt aque Potabũt om̃s
bestieagriexpectab̃tonagriinsitisuaSuꝑea	bestie agri expectab̃t onagri in siti sua Suꝑ ea
uolucrescelihabitabũtdemediopetrarũdabũtuoceᷤRigãsmõtes	uolucres celi habitabũt de medio petrarũ dabũt uoceᷤ Rigãs mõtes
desuꝑioribsuisdefructuoꝑmtuoꝝsatiabr̃t̃ra	de suꝑiorib suis de fructu oꝑm tuoꝝ satiabr̃ t̃ra
Ꝓducẽsfenũ	Ꝓducẽs fenũ
ium̃tis⁊hẽbamsẽuitutihõmQuia	ium̃tis ⁊ hẽbam sẽuituti hõm Quia
defecer̃tsic̃	defecer̃t sic̃
fum᷒diesm̃iQͣdruplexẽh᷒uitenr̃amiẜiain	fum᷒ dies m̃i Qͣdruplex ẽ h᷒ uite nr̃a miẜia in
breuitatedieꝝinacerbitate	breuitate dieꝝ in acerbitate
dolorisinmortalitatecarnisinariditatecordisxp̃s	doloris in mortalitate carnis in ariditate cordis xp̃s
fuitsil̃ispellicanonascẽ	fuit sil̃is pellicano nascẽ
deuirginesic̃niticoraxĩ	de uirgine sic̃ niticorax ĩ
domiciliopatiendosic̃passersolitari᷒ĩtectoresurgendoEth̃	domicilio patiendo sic̃ passer solitari᷒ ĩ tecto resurgendo Et h̃
sigc̃anttresordinessc̃ematͥs	sigc̃ant tres ordines sc̃e matͥs
eccl̃euirginesꝯtinentes⁊ꝯiugatosBenedicaĩam̃adño	eccl̃e uirgines ꝯtinentes ⁊ ꝯiugatos Benedic aĩa m̃a dño
⁊õiaq̃ĩtra	⁊ õia q̃ ĩtra
mesũtNotaq̃dtress̃tpartessensualitatisminormedia	me sũt Nota q̃d tres s̃t partes sensualitatis minor media
etsuperiorMinor	et superior Minor
