fecitconstantin᷒	fecit constantin᷒
hodiecelebraturisum᷒loquidiude	hodie celebraturi sum᷒ loqui diu de
euangelicalectionenonpossumussed	euangelica lectione non possumus sed
nosaliquiduelbreuiterdicere	nos aliquid uel breuiter dicere
redemptorisnr̃inatiuitasipsacõpellitQuidestqͦdnascituro	redemptoris nr̃i natiuitas ipsa cõpellit Quid est qͦd nascituro
dñomundusdescribiturnisihocquodaꝑtemonstratur	dño mundus describitur nisi hoc quod aꝑte monstratur
quiailleueniebatincarneqͥelectossuosascriber&in	quia ille ueniebat in carne qͥ electos suos ascriber& in
ęternitateCuicontradereꝓbisꝑproph̃amdiciturDeleantur	ęternitate Cui contra de reꝓbis ꝑ proph̃am dicitur Deleantur
delibrouiuentiũ&cumiustisnonscribanturQui	de libro uiuentiũ & cum iustis non scribantur Qui
bene&iaminb&hleemnascitur	bene &iam in b&hleem nascitur
B&hleemquippe	B&hleem quippe
domuspanis	domus panis
interpretat᷑Ipse	interpretat᷑ Ipse
namqestqͥ	namq est qͥ
aitEgosumpanisuiuusqͥdecęlodescendiLocus	ait Ego sum panis uiuus qͥ de cęlo descendi Locus
ergoinqͦdñsnascereturdomuspanisanteuocatusest	ergo in qͦ dñs nasceretur domus panis ante uocatus est
quiafuturũꝓfectoeratutilleibiꝑmateriã	quia futurũ ꝓfecto erat ut ille ibi ꝑ materiã
carnisapparer&quielectoꝝ	carnis apparer& qui electoꝝ
m̃tesinterna	m̃tes interna
satietatereficer&Qui	satietate reficer& Qui
noninparentũmentisiudicans&uulnerabilipaternęconsolationisadhibens	non in parentũ mentis iudicans & uulnerabili paternę consolationis adhibens
medicinamSicillereuersusadse	medicinam Sic ille reuersus ad se
susceptionemquamdilatam	susceptionem quam dilatam
doluitpacient̃expectauitMortemquoqWillelmiiuniorisquimagnoac	doluit pacient̃ expectauit Mortem quoq Willelmi iunioris qui magno ac
triumphatorianglorũWillelmopatrisuosuccesserateuidentiuaticinioindicauit	triumphatori anglorũ Willelmo patri suo successerat euidenti uaticinio indicauit
Eratilled̃iseruusgl̃oseopinionis	Erat ille d̃i seruusgl̃ose opinionis
anselm᷒cantuꝓmisit	anselm᷒ cantu ꝓmisit
fueratPrescriptussiquinationis	fuerat Prescriptus siqui nationis
insistercui᷒dãmilitis	insister cui᷒dã militis
instatimqsubitaexpirauit	in statimq subita expirauit
Siciterminataeta	Sic i terminata et a
claruit&cantquiꝑsequenti	claruit & cant qui ꝑsequenti
sredeundifaculcessitIdemd̃iseruusNonoportet	s redeundi facul cessit Idem d̃i seruus Non oportet
aLXXmausqinoct̃pasche&	a LXXma usq in oct̃ pasche &
abaduentudñiusqp᷒theophaniãnupciascelebrari	ab aduentu dñi usq p᷒ theophaniã nupcias celebrari
Conuenientib᷒eisqͥhocsacram̃tũcelebraredesiderantpͥmocauendũ	Conuenientib᷒ eis qͥ hoc sacram̃tũ celebrare desiderant pͥmo cauendũ
&diligentissimeẽinqͥrend̃ne	& diligentissime ẽ inqͥrend̃ ne
sitint̃eosaliqͥdq̃dtantosacram̃topoᷤsiteẽcontrariũ	sit int̃ eos aliqͥd q̃d tanto sacram̃to poᷤsit eẽ contrariũ
Reqͥenduᷤẽętiãdiligent̃	Reqͥenduᷤ ẽ ętiã diligent̃
asac̃doteamboꝝid÷	a sac̃dote amboꝝ id÷
uirietmulierisassensusQ̃dsiuota	uiri et mulieris assensus Q̃d si uota
amboꝝconuenerintsacerdos	amboꝝ conuenerint sacerdos
lectacartasponsaliciibñdicat	lecta carta sponsalicii bñdicat
arrasdicensBENEDICdñehasarras	arras dicens BENEDIC dñe has arras
quashodietradetfamulustuusin	quas hodie tradet famulus tuus in
manuancillętuęquem	manu ancillę tuę quem
admodũbenedixistiabraam	admodũ benedixisti abraam
cumsairaysaaccũRebecaiacobcũrachelDona	cum saira ysaac cũ Rebeca iacob cũ rachel Dona
suꝑeosdñe	suꝑ eos dñe
gr̃ambenedicPAPAVRBISROME	gr̃am benedic PAPA VRBIS ROME
EDITVSSCRIPTORISLIBRILECTORMEMOR	EDITVS SCRIPTORIS LIBRI LECTOR MEMOR
ESTOSICARDIOrdoqualit̃inCatholicaeccl̃amissacelebretur	ESTO SICARDI Ordo qualit̃ in Catholica eccl̃a missa celebretur
Inpͥmisantiph̃aadintroitũDeindekiriel̃IIIͦxp̃el̃IIIͦ	In pͥmis antiph̃a ad introitũ Deinde kiriel̃ IIIͦ xp̃el̃ IIIͦ
kiriel̃IIIͦPosteaGl̃ain	kiriel̃ IIIͦ Postea Gl̃a in
excelsisd̃odieb᷒	excelsis d̃o dieb᷒
festistantũmͦIndeor̃oSeqͥturEpl̃aDeindeGradal̃siue	festis tantũmͦ Inde or̃o Seqͥtur Epl̃a Deinde Gradal̃ siue
all̃aPostea	all̃a Postea
Eugl̃mIndeOffertoriũPostomodũseqͥturor̃o	Eugl̃m Inde Offertoriũ Postomodũ seqͥtur or̃o
suꝑobl̃aQuasubsilentiocompletasacerdosexpansis	suꝑ obl̃a Qua sub silentio completa sacerdos expansis
manib᷒excelsauocereuerenterdicat	manib᷒ excelsa uoce reuerenter dicat
SUPEROBLATAOblataconfessoristuicolumbani	SUPER OBLATA Oblata confessoris tui columbani
honoresinttibinr̃agratalibamina&nr̃arumapud	honore sint tibi nr̃a grata libamina & nr̃arum apud
tesupplicationumeffectumobtineãt*	te supplicationum effectum obtineãt *
P*ADCOMPLENDṼFacnosquesumusdominebeaticonfessoris	P * AD COMPLENDṼ Fac nos quesumus domine beati confessoris
tuicolumbanidignesollempniacelebrarequilargitatis	tui columbani digne sollempnia celebrare qui largitatis
tuaepreuent᷒munere	tuae preuent᷒ munere
laudabilisuitęcursum	laudabilis uitę cursum
gloriosofinecompleuit*P	glorioso fine compleuit * P
*EODEMDIEVIGILIASC̃ECECILIAE	* EODEM DIE VIGILIA SC̃E CECILIAE
VIRGINISSANctęCECILIAEmr̃istuęquesumusdomineintercessionibusnos	VIRGINIS SANctę CECILIAE mr̃is tuę quesumus domine intercessionibus nos
foueas&cuiusuenerabilemsollempnitatemnostribuis	foueas & cuius uenerabilem sollempnitatem nos tribuis
preuenireobIncipit	preuenire ob Incipit
secund᷒Postmortem	secund᷒ Post mortem
uͦysaacfiliieiusinuicem	uͦ ysaac filii eius inuicem
habitaculadiuiseruntnoneaqueacceperant&tenuerant	habitacula diuiserunt non ea que acceperant & tenuerant
sesauquidem	s esau quidem
ebronciuitatemfratridanshabitauitinseir&	ebron ciuitatem fratri dans habitauit in seir &
inidumearegnabatquamregionemasemetipsoitauocauit	in idumea regnabat quam regionem a semetipso ita uocauit
EdomenimnominatusestQuamnuncupationemhuiusmodiuenationiscausasortitus	Edom enim nominatus est Quam nuncupationem huiusmodi uenationis causa sortitus
estAliquandolaboreuenationisesuriensredibatdumadhucpuereẽt	est Aliquando labore uenationis esuriens redibat dum adhuc puer eẽt
etateInueniensq	etate Inueniensq
fratremlentemsibipreparantemadprandium	fratrem lentem sibi preparantem ad prandium
rubeumcoloremnimishabentem&proptereapotiusincitatusrogabatut	rubeum colorem nimis habentem & propterea potius incitatus rogabat ut
eipreberetadcibumQuiuenderesibi	ei preberet ad cibum Qui uendere sibi
primatumpropt̃cibumꝑeiusesuriem	primatum propt̃ cibum ꝑ eius esuriem
cimpulitfratrẽSICVTINDIVINISLITTERISdiuersalegunturcantica	cimpulit fratrẽ SICVT IN DIVINIS LITTERIS diuersa leguntur cantica
ita&sp̃usc̃o	ita & sp̃u sc̃o
lam̃tationesdiuersęEtsic̃ꝓpͥeappellaturlibersalomoniscantica	lam̃tationes diuersę Et sic̃ ꝓpͥe appellatur liber salomonis cantica
canticoꝝita&appellariqͤũtthreniiheremię	canticoꝝ ita & appellari qͤũtthreni iheremię
lamentationeslam̃tationũsic̃omnino	lamentationes lam̃tationũ  sic̃ omnino
celluntillainquib	cellunt illa in quib
sponsusacsponsadulvibfruunturamplexibusita	sponsus ac sponsa dulvib fruuntur amplexibus ita
&lam̃tationesistęhocĩ	& lam̃tationes istę hoc ĩ
nõedñiadmonem᷒qͣntũposum᷒&	nõe dñi admonem᷒ qͣntũ posum᷒ &
cipim᷒ut	cipim᷒ ut
qnͦauditisexponisacͣm̃tũscͥpt᷑ęnarrantiᷤquę	qnͦ auditis exponi sacͣm̃tũ scͥpt᷑ę narrantiᷤ quę
gestas̃	gesta s̃
priusilludq̃dlectũ	prius illud q̃d lectũ
ẽcredatissic	ẽ credatis sic
gestũqͦmͦlectũẽ	gestũ qͦmͦ lectũ ẽ
nesubtracto	ne subtracto
fundam̃toreigestęqͣsiinaerequaeratiᷤedificare	fundam̃to rei gestę qͣsi in aere quaeratiᷤ edificare
Abrahãpat̃nr̃homoeratillis	Abrahã pat̃ nr̃ homo erat illis
tẽporibfid̃liᷤcredensd̃oiustificat᷒exfidesic̃script᷑adic̃	tẽporib fid̃liᷤ credens d̃o iustificat᷒ ex fide sic̃ script᷑a dic̃
&uet᷒&nouaSuscep̃filiũdesarauxoreiã	& uet᷒ & noua Suscep̃ filiũ de sara uxore iã
insenectuteutͥsqc̃stitutiᷤex	in senectute utͥsq c̃stitutiᷤ ex
magnadesꝑatiõe,	magna desꝑatiõe ,
sscd̃mhominẽ	s scd̃m hominẽ
Qͥdaut̃de	Qͥd aut̃ de
deoñsꝑandũcui	deo ñ sꝑandũ cui
nichildifficileẽqͥsic	nichil difficile ẽ qͥ sic
fac̃magnaquomͦparuasicsuscitatmortuoᷤ	fac̃ magna quomͦ parua sic suscitat mortuoᷤ
qͦmͦcreatuiuosSipictoreadẽarte	qͦmͦ creat uiuos Si pictor eadẽ arte
fac̃muremsudario	fac̃ murem sudario
porrigit᷑adaltareq̃dsudariũponiturincornualtaCalix	porrigit᷑ ad altare q̃d sudariũ ponitur in cornu alta Calix
inlatereoblatain	in latere oblata in
altaricõponit᷑	altari cõponit᷑
ñposttergũLętanięitacęlebraᷠt᷑inuigiliispaschęut	ñ post tergũ Lętanię ita cęlebraᷠt᷑ in uigiliis paschę ut
nr̃mosolimobtinuit	nr̃ mos olim obtinuit
idestpostbaptismũ	id est post baptismũ
ꝑsepnariũ&quinariũ&ternariũnumerumOFFICIALISLIBERGLORIOSISSIME	ꝑ sepnariũ & quinariũ & ternariũ numerum OFFICIALIS LIBER GLORIOSISSIME
IMPERATORETMAGNIFICENsimeac	IMPERATOR ET MAGNIFICEN sime ac
centiesinuictissimead̃ocoronatenec	centies inuictissime a d̃o coronate nec
n&conseruateatqconseruandeseruusegour̃A	n & conseruate atq conseruande seruus ego ur̃ A
LARIUSquãuisminimus	LARIUS quãuis minimus
om̃iũAfficiebarolidesiderioutscirẽ	om̃iũ Afficiebar oli desiderio ut scirẽ
rationẽaliquãdeordinenr̃ęmissęquãconsuętomore	rationẽ aliquã de ordine nr̃ę missę quã consuęto more
cęlebram᷒&ampliusexdiuersitateqsolet	cęlebram᷒ & amplius ex diuersitate q solet
fieriineahocestq̃d	fieri in ea hoc est q̃d
aliquotiensunaepistolalegit᷑	aliquotiens una epistola legit᷑
aliqͦtiensduę&cęterataliasimulqdeceteris	aliqͦtiens duę & cętera talia simulq de ceteris
officiisPręteritaꝓxim	officiis Pręterita ꝓxim
priiseoꝝuerbisutensquęaptaerantmeostudiotemperaui	priis eoꝝ uerbis utens quę apta erant meo studio temperaui
Interdumautẽquęmanifestanondubiũuidebanturuerarationefirmaui	Interdum autẽ quę manifesta non dubiũ uidebantur uera ratione firmaui
Etcontraquęq.ineiusdemlibrimarginelitterasdoctoꝝ	Et contra quęq. in eiusdem libri margine litteras doctoꝝ
quospremisiexinitio	quos premisi ex initio
nominiseregione	nominis e regione
figerecurauiPropterquodlegesecurus&ꝑficequęmonui	figere curaui Propter quod lege securus & ꝑfice quę monui
deuotusExplicitPROLOG᷒INCIPIVNTCAPITVLAIxp̃icõmunionẽ	deuotus Explicit PROLOG᷒ INCIPIVNT CAPITVLA I xp̃i cõmunionẽ
uerũcorpus	uerũ corpus
ei᷒&sanguinẽesseIIQ̃dhocmysteriũxp̃i	ei᷒ & sanguinẽ esse II Q̃d hoc mysteriũ xp̃i
nullusfideliũdebeatignorareIIIQuidsint	nullus fideliũ debeat ignorare III Quid sint
sacramentauelquaredicanturIIIIVtrũsub	sacramenta uel quare dicantur IIII Vtrũ sub
figuraaninueritatehocmysticũfiat	figura an in ueritate hoc mysticũ fiat
sacramentũV	sacramentũ V
Quidsitinterimmolationesueterũfigurasq.legaliũ	Quid sit inter immolationes ueterũ figurasq. legaliũ
&int̃sacramentũ	& int̃ sacramentũ
dñicicorporis&sanguinispuritatecelesisdesid̃iigaudentErateneũ	dñici corporis & sanguinis puritate celesis desid̃ii gaudent Erat eneũ
quiamultisũtqͥ	quia multi sũt qͥ
dicuntmente	dicunt mente
seruiuim᷒legideicarneaut̃legipeccatiEratantetempli	seruiuim᷒ legi dei carne aut̃ legi peccati Erat ante templi
forespositumquiapaucisuntquirenuntiant	fores positum quia pauci sunt qui renuntiant
om̃ibq̃possidentutadostium	om̃ib q̃ possident ut ad ostium
portic᷒appropinquentPortic᷒siqͥd̃templiẽut	portic᷒ appropinquent Portic᷒ siqͥd̃ templi ẽ ut
suꝑi᷒dixim᷒renuntiatõmundiInhac	suꝑi᷒ dixim᷒ renuntiatõ mundi In hac
porticudue	porticu due
erigunt᷑colũpneunacastitatisalt̃a	erigunt᷑ colũpne una castitatis alt̃a
sobͥetatisutqͥmundorenuntiãtsobrie⁊castedeo	sobͥetatis ut qͥ mundo renuntiãt sobrie ⁊ caste deo
uiuantPostporticumrenuntiatõnisseqͥt᷑templũrecte	uiuant Post porticum renuntiatõnis seqͥt᷑ templũ recte
ꝯuconuersionisDealtariaureo⁊	ꝯu conuersionis De altari aureo ⁊
mensaaurea⁊candelabro	mensa aurea ⁊ candelabro
INhoctemplo	IN hoc templo
ẽaltareaureũest	ẽ altare aureũ est
m̃saaurea	m̃sa aurea
sunt⁊candelabra	sunt ⁊ candelabra
deauropurissimo	de auro purissimo
factaInaltariaccendebant᷑thimiamatainm̃sa	facta In altari accendebant᷑ thimiamata in m̃sa
panesponebant᷑incandelabris	panes ponebant᷑ in candelabris
lucerneAltareaureũsuntcordaelectoꝝthimiamata	lucerne Altare aureũ sunt corda electoꝝ thimiamata
bonaoꝑaodorthimiamatũbonioꝑisexemplumFum᷒thimiamatũqͥ	bona oꝑa odor thimiamatũ boni oꝑis exemplum Fum᷒ thimiamatũ qͥ
suꝑi᷒ascenditẽ	suꝑi᷒ ascendit ẽ
intentõoratõnisq̃exaffectu	intentõ oratõnis q̃ ex affectu
cordisaddesid̃anda	cordis ad desid̃anda
celestiatendit	celestia tendit
m̃sauͦaureaẽdiuinascͥpturapanessuntapostolisiue	m̃sa uͦ aurea ẽ diuina scͥptura panes sunt apostoli siue
eoꝝsuccessoresexquoꝝ	eoꝝ successores ex quoꝝ
actibtanqͣm	actib tanqͣm
expanibreficiunt᷑fideliũ	ex panib reficiunt᷑ fideliũ
mentesQuipanesꝓpositõnis	mentes Qui panes ꝓpositõnis
ꝯuenient̃possunt	ꝯuenient̃ possunt
appellarquia	appellar quia
adimitandũꝓponunt᷑	ad imitandũ ꝓponunt᷑
uniũsoorbiDecẽcandelabrasũtdecemlegiscepta	uniũso orbi Decẽ candelabra sũt decem legis cepta
luc̃nelumendoctͥnePossunthec⁊alit̃dici	luc̃ne lumen doctͥne Possunt hec ⁊ alit̃ dici
Sitgͥaltare	Sit gͥ altare
dilectõmensa	dilectõ mensa
lectõcandeINCIPITPROLOG᷒INVITÃSC̃IAGERICI	lectõ cande INCIPIT PROLOG᷒ IN VITÃ SC̃I AGERICI
Impellitismeactrahitisuiolentiaamabilifr̃skm̃iut	Impellitis me ac trahitis uiolentia amabili fr̃s km̃i ut
indiefestiuitatisSc̃iacuenerabilispatrisnr̃i	in die festiuitatis Sc̃i ac uenerabilis patris nr̃i
AGERICIde	AGERICI de
hortouirtutumipsiusfecundissimoquosdamflosculosetuirentia	horto uirtutum ipsius fecundissimo quosdam flosculos et uirentia
quęlibetodoramentadecerpameaq.	quęlibet odoramenta decerpam eaq.
admensamleticięcõmunis	ad mensam leticię cõmunis
ferculolitterarumcõposita	ferculo litterarum cõposita
offeramsicq.repleamdesideriiur̃iappetitumparticulãq.bonamacceptama	offeram sicq. repleam desiderii ur̃i appetitum particulãq. bonam acceptam a
dñouobisex	dño uobis ex
caritatecõmunicem	caritate cõmunicem
BonaẽaclaudabilisplutimũintentioEXPLICIT	Bona ẽ ac laudabilis plutimũ intentio EXPLICIT
DIESQUART᷒INCIP̃LIB̃QͥNT᷒	DIES QUART᷒ INCIP̃ LIB̃ QͥNT᷒
QVIVINDEMIAM	QVI VINDEMIAM
COLLIGITuasapriusquibusuinuminfundit᷑mundareconsueuitne	COLLIGIT uasa prius quibus uinum infundit᷑ mundare consueuit ne
sordesaliquauinigr̃amdecoloretQuidenĩprodestponerę	sordes aliqua uini gr̃am decoloret Quid enĩ prodest ponerę
uitę̃ordinefoderequotannisaut	uitę̃ ordine fodere quot annis aut
aratrissulcosducereputare	aratris sulcos ducere putare
subrigereadiungereulmis&quodam	subrigere adiungere ulmis & quodam
conubiocopularesi	conubio copulare si
tantolabore	tanto labore
uinaquesitainuasecoacescantmatutinosquoq	uina quesita in uase coacescant matutinos quoq
solisort᷒siquis	solis ort᷒ si quis
spectaredesideratemundatocl̃ossuosnequidpulueris	spectare desiderat emundat ocl̃os suos nequid pulueris
neqͥdpurgam̃toꝝocl̃isei᷒insideat	neqͥd purgam̃toꝝ ocl̃is ei᷒ insideat
quotuendishebetet᷑optut᷒neuealiquacaligonebulosacorporeos	quo tuendis hebetet᷑ optut᷒ neue aliqua caligonebulosa corporeos
uisusspectantisobuestrę	uisus spectantis ob uestrę
quarehunc	quare hunc
sermonẽnecesse	sermonẽ necesse
habuiuob̃ꝓmereExquohic	habui uob̃ ꝓmere Ex quo hic
sumuseuntesadęccl̃am&redeuntespauperes	sumus euntes ad ęccl̃am & redeuntes pauperes
int̃pellantnos&dicuntutdicam᷒uob̃ut	int̃pellant nos & dicunt ut dicam᷒ uob̃ ut
aliqͥdaccipiantauob̃Nos	aliqͥd accipiant a uob̃ Nos
nouer̃l̃r̃tloquiuob̃&se	nouer̃ l̃ r̃t loqui uob̃ & se
uidentñaccipereauob̃	uident ñ accipere a uob̃
Inanit̃nosarbitrantur	Inanit̃ nos arbitrantur
laborareinuob̃Expectantaliquid&	laborare in uob̃ Expectant aliquid &
anob̃damusquãtumhabem᷒damussicutpossumus	a nob̃ damus quãtum habem᷒ damus sicut possumus
Nũquidtam̃adeorũnecessitatẽsupplendãidoneisumus	Nũquid tam̃ ad eorũ necessitatẽ supplendã idonei sumus
Quiagͦadeorumnecessitatẽimplendãidoneinon	Quia gͦ ad eorum necessitatẽ implendã idonei non
sumusuel	sumus uel
aduoslegatiipsorũsumusAudistislaudastis	ad uos legati ipsorũ sumus Audistis laudastis
d̃ogr̃as	d̃o gr̃as
egistisSem̃accepistisũbareddidistis	egistis Sem̃ accepistis ũba reddidistis
Laudesistaeur̃ęgrauantnospotius&	Laudes istae ur̃ę grauant nos potius &
inpericulũmittuntToleram᷒illas&	in periculũ mittunt Toleram᷒ illas &
tremimusint̃illasTam̃fr̃s	tremimus int̃ illas Tam̃ fr̃s
meiistelaudesur̃ęfoliasuntarborũfructusquęriturEXPLICIT	mei iste laudes ur̃ę folia sunt arborũ fructus quęritur EXPLICIT
ITEMEIUSDEMDEVERBISDÑIINEUGL̃O	ITEM EIUSDEM DE VERBIS DÑI IN EUGL̃O
SCD̃MMATH̃MDEPVEROCENTVRIONIS&VERBISEI᷒	SCD̃M MATH̃M DE PVERO CENTVRIONIS & VERBIS EI᷒
INDIGNṼSEPRESENTIADÑIdebitanr̃a	INDIGNṼ SE PRESENTIA DÑI debita nr̃a
sic̃&nosdimittim᷒debitorib	sic̃ & nos dimittim᷒ debitorib
nSꝑateresurrecturũ&tc̃futurũom̃imͦsin	n Sꝑa te resurrecturũ & tc̃ futurũ om̃i mͦ sin
peccatoQͥailleresurrex̃qͥpͥm᷒fuit	peccato Qͥa ille resurrex̃ qͥ pͥm᷒ fuit
sinepeccatoAuigmatutinasꝑanolidicereego	sine peccato A uig matutina sꝑa noli dicere ego
ñsũdign᷒ꝓpt̃peccata	ñ sũ dign᷒ ꝓpt̃ peccata
ñesmultaapudillũredẽptioEt	ñ e s multa apud illũ redẽptio Et
ipseredimetisr̃lexom̃ibiniqͥtatibei᷒EXPLIC̃DEPSA	ipse redimet isr̃l ex om̃ib iniqͥtatib ei᷒ EXPLIC̃ DE PSA
MOCENTESIMOVICESIMO	MO CENTESIMO VICESIMO
NONOINCIPITDEPSALMOCENTESIMOTRICESIMOINISTOPSALMO	NONO INCIPIT DE PSALMO CENTESIMO TRICESIMO IN ISTO PSALMO
cõm̃dat᷑nob̃humilitasseuid̃i&	cõm̃dat᷑ nob̃ humilitas seui d̃i &
fideliscui᷒uocecantat᷑q̃dẽ	fidelis cui᷒ uoce cantat᷑ q̃d ẽ
uniuersũcorp᷒xp̃i	uniuersũ corp᷒ xp̃i
Sepeenĩadmonuim᷒caritatẽ	Sepe enĩ admonuim᷒ caritatẽ
ur̃amñ	ur̃am ñ
qͣsiuni᷒hominis	qͣsi uni᷒ hominis
cantantisucẽaccipideberesedom̃iũqͥ	cantantis u cẽ accipi debere sed om̃iũ qͥ
s̃tinxp̃icorporeEtqͥainilli᷒corpores̃t	s̃t in xp̃i corpore Et qͥa in illi᷒ corpore s̃t
om̃stãquãi	om̃s tãquã i
homoloqͥt᷑Et	homo loqͥt᷑ Et
ipseẽun᷒qͥ&multis̃tMtienĩs̃t	ipse ẽ un᷒ qͥ & multi s̃t Mti enĩ s̃t
inseipsisun᷒s̃tinilloqͥun᷒	in seipsis un᷒ s̃t in illo qͥ un᷒
ẽIpsũẽetiãtẽplũ	ẽ Ipsũ ẽ etiã tẽplũ
d̃ideqͦ	d̃i de qͦ
apl̃sdicitTẽpenĩd̃isc̃mẽq̃destisuos	apl̃s dicit Tẽp enĩ d̃i sc̃m ẽ q̃d estis uos
Om̃sqͥcredd̃t	Om̃s qͥ credd̃t
inxp̃m&siccred̃tutdiligant	in xp̃m & sic cred̃t ut diligant
hocẽcredeinxp̃mdiligerexp̃m	hoc ẽ crede in xp̃m diligere xp̃m
